Id,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
4576,39.7,59.7,51.4,60.1,23.1,16.7,1.94,3.9,484,Poor
1088,33.9,53.4,18.5,24.7,26.0,9.8,1.96,6.3,605,Moderate
479,33.7,96.3,70.8,87.3,32.9,17.0,2.33,4.8,557,Hazardous
727,29.3,75.2,14.7,27.1,27.9,11.5,1.56,5.3,428,Moderate
3783,23.5,66.6,13.7,20.0,20.2,5.9,0.77,11.3,347,Good
976,31.3,68.3,26.6,31.6,40.1,19.8,1.51,10.4,568,Poor
3784,17.8,77.9,8.3,15.5,18.5,6.1,0.94,15.5,546,Good
2977,21.3,48.3,2.4,5.8,15.5,6.3,1.08,10.5,296,Good
1928,30.1,49.0,7.7,14.5,20.2,7.6,0.98,11.0,465,Good
1468,44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,Hazardous
1224,38.0,70.6,100.0,117.5,32.4,7.0,2.4,4.1,477,Poor
2856,26.2,46.9,2.0,6.4,18.1,4.2,1.19,11.6,299,Good
1952,23.6,79.9,5.3,12.4,16.3,5.0,0.99,18.6,528,Good
4830,25.7,65.8,8.5,15.1,18.6,5.0,0.93,10.1,393,Good
4500,32.5,74.3,5.0,18.7,32.3,15.5,1.83,4.8,769,Poor
1892,27.5,71.0,52.1,64.1,22.0,6.7,1.65,6.6,601,Moderate
1299,25.8,56.3,5.0,9.5,20.9,2.5,0.98,14.1,410,Good
2990,36.0,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336,Moderate
4599,28.4,44.5,8.7,16.6,25.0,0.9,1.03,10.3,208,Good
660,38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,Moderate
4577,32.4,61.8,23.0,43.4,19.5,17.0,2.05,3.8,463,Poor
4073,32.7,82.0,64.9,78.4,30.5,-1.9,1.93,3.4,766,Poor
2784,47.5,84.9,55.8,65.9,39.4,17.8,2.57,5.2,557,Hazardous
4937,32.2,89.0,50.8,70.0,24.9,24.5,2.6,3.5,527,Poor
3827,43.2,85.0,152.7,178.1,38.6,28.2,2.7,2.8,627,Hazardous
2714,25.4,83.8,21.0,27.7,22.3,11.3,1.3,16.0,388,Moderate
4657,43.7,76.2,56.6,64.2,23.2,12.3,1.4,5.6,390,Moderate
267,38.2,63.2,37.1,49.7,32.6,26.1,2.27,7.2,590,Poor
4442,26.1,51.8,2.7,4.5,18.1,4.9,0.94,10.2,277,Good
4959,20.9,68.0,3.9,11.2,19.7,5.9,1.05,14.3,416,Good
3372,33.5,76.3,1.0,25.2,17.4,19.0,2.47,3.4,666,Poor
3595,36.3,70.0,58.7,71.9,42.1,12.1,2.37,3.9,539,Poor
4316,25.1,65.9,3.0,9.9,12.7,0.9,0.92,10.5,279,Good
3722,27.4,61.2,24.3,32.1,23.8,4.8,0.98,11.6,345,Good
3406,38.9,75.2,6.8,26.1,33.4,18.0,1.85,4.3,579,Poor
1278,30.3,72.5,5.7,11.2,16.6,4.4,1.21,11.6,305,Good
4640,37.0,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,Poor
3917,31.5,49.1,36.6,40.4,26.6,7.9,1.58,6.6,318,Moderate
2678,41.4,74.4,27.5,38.8,28.9,21.3,2.18,4.2,778,Poor
1621,39.6,96.2,47.1,65.4,35.8,17.1,2.03,5.2,661,Poor
4103,20.4,59.3,0.4,4.2,23.4,4.3,1.0,11.3,219,Good
2857,18.8,57.1,37.2,46.4,37.4,24.5,2.01,5.3,528,Moderate
1896,24.7,46.2,22.9,25.0,14.4,5.0,0.78,10.1,356,Good
3924,44.5,79.6,41.4,53.1,38.4,21.8,2.44,4.7,837,Hazardous
3014,24.1,83.6,49.8,60.3,28.4,9.6,1.54,6.4,543,Moderate
4438,30.9,57.8,15.3,28.1,26.5,10.6,1.35,5.1,380,Moderate
67,31.8,59.8,25.6,30.9,18.7,4.6,1.09,10.1,326,Good
2042,28.4,42.8,0.6,6.7,24.8,9.1,1.05,10.3,599,Good
2580,34.3,78.8,2.4,14.6,34.4,9.2,1.79,4.3,681,Poor
3782,37.4,51.2,75.2,85.4,25.4,8.6,1.66,5.3,450,Moderate
3790,24.7,70.4,8.1,12.2,17.3,4.2,1.04,11.0,243,Good
820,23.9,43.0,12.2,17.2,14.1,7.2,0.93,10.5,333,Good
1226,39.4,75.2,109.6,145.2,46.8,34.7,2.5,6.1,794,Hazardous
2991,26.9,72.5,17.1,37.3,26.9,5.2,1.52,5.4,479,Poor
3132,27.6,78.7,4.8,8.5,24.4,5.1,1.0,10.9,513,Good
2743,45.4,104.0,25.0,22.8,36.7,24.0,2.5,10.5,467,Poor
4457,31.0,93.2,28.7,48.3,44.2,11.3,2.29,10.1,592,Poor
4269,49.8,79.3,40.0,59.0,19.9,19.0,2.41,4.1,829,Hazardous
3349,25.8,56.9,2.7,10.1,17.2,2.6,0.84,11.1,569,Good
1143,45.0,115.0,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous
397,39.1,91.6,139.5,154.6,49.8,17.7,3.32,5.9,566,Hazardous
